Date,1_USD=
"January 1, 2020",71.165
"January 2, 2020",71.348
"January 3, 2020",71.7535
"January 4, 2020",71.761
"January 5, 2020",71.761
"January 6, 2020",71.871
"January 7, 2020",71.831
"January 8, 2020",71.3695
"January 9, 2020",71.153
"January 10, 2020",70.9375
"January 11, 2020",70.991
"January 12, 2020",70.989
"January 13, 2020",70.753
"January 14, 2020",70.8525
"January 15, 2020",70.725
"January 16, 2020",70.9706
"January 17, 2020",71.096
"January 18, 2020",71.0437
"January 19, 2020",71.0437
"January 20, 2020",71.0125
"January 21, 2020",71.1695
"January 22, 2020",71.1015
"January 23, 2020",71.4497
"January 24, 2020",71.303
"January 25, 2020",71.3255
"January 26, 2020",71.3255
"January 27, 2020",71.455
"January 28, 2020",71.218
"January 29, 2020",71.37
"January 30, 2020",71.5575
"January 31, 2020",71.5
"February 1, 2020",71.499
"February 2, 2020",71.499
"February 3, 2020",71.35
"February 4, 2020",71.11
"February 5, 2020",71.1887
"February 6, 2020",71.219
"February 7, 2020",71.492
"February 8, 2020",71.516
"February 9, 2020",71.516
"February 10, 2020",71.285
"February 11, 2020",71.269
"February 12, 2020",71.3106
"February 13, 2020",71.2748
"February 14, 2020",71.501
"February 15, 2020",71.5269
"February 16, 2020",71.5269
"February 17, 2020",71.3505
"February 18, 2020",71.5395
"February 19, 2020",71.587
"February 20, 2020",71.917
"February 21, 2020",71.8325
"February 22, 2020",71.8875
"February 23, 2020",71.8875
"February 24, 2020",72.098
"February 25, 2020",71.8226
"February 26, 2020",71.6
"February 27, 2020",71.645
"February 28, 2020",72.505
"February 29, 2020",72.175
"March 1, 2020",72.175
"March 2, 2020",72.73
"March 3, 2020",72.96
"March 4, 2020",73.5745
"March 5, 2020",73.635
"March 6, 2020",74.225
"March 7, 2020",74.0053
"March 8, 2020",74.0053
"March 9, 2020",74.385
"March 10, 2020",73.878
"March 11, 2020",74.085
"March 12, 2020",74.605
"March 13, 2020",74.01
"March 14, 2020",73.959
"March 15, 2020",73.959
"March 16, 2020",74.0625
"March 17, 2020",74.18
"March 18, 2020",75.09
"March 19, 2020",74.8
"March 20, 2020",75.475
"March 21, 2020",75.6226
"March 22, 2020",75.6226
"March 23, 2020",76.4125
"March 24, 2020",76.075
"March 25, 2020",75.975
"March 26, 2020",74.8575
"March 27, 2020",75.07
"March 28, 2020",74.876
"March 29, 2020",75.472
"March 30, 2020",75.355
"March 31, 2020",75.445
"April 1, 2020",76.59
"April 2, 2020",76.1725
"April 3, 2020",76.3875
"April 5, 2020",76.419
"April 6, 2020",75.9425
"April 7, 2020",75.5325
"April 8, 2020",75.885
"April 9, 2020",75.8875
"April 10, 2020",76.1475
"April 11, 2020",76.1765
"April 12, 2020",76.1765
"April 13, 2020",76.3425
"April 14, 2020",75.98
"April 15, 2020",76.5225
"April 16, 2020",76.805
"April 17, 2020",76.585
"April 18, 2020",76.501
"April 19, 2020",76.501
"April 20, 2020",76.61
"April 21, 2020",77.051
"April 22, 2020",76.4465
"April 23, 2020",75.9525
